Dependents,Education,Self_Employed,ApplicantIncome,CoapplicantIncome,Credit_History,Loan_Status,EMI,Property_Area_Semiurban,Property_Area_Urban
0,1,0,2500,2118.0,1,1,288.89,1,0
0,1,0,8566,0.0,1,1,583.33,0,1
0,1,0,5695,4167.0,1,1,486.11,1,0
0,1,0,2958,2900.0,1,1,363.89,1,0
2,1,0,6250,5654.0,1,1,1044.44,1,0
2,0,0,3273,1820.0,1,1,225.0,0,1
0,1,0,4133,0.0,1,1,338.89,1,0
0,0,0,3620,0.0,1,1,208.33,1,0
0,1,0,2484,2302.0,1,1,380.56,1,0
0,1,0,1977,997.0,1,1,138.89,1,0
0,0,0,4188,0.0,1,1,638.89,1,0
0,1,0,1759,3541.0,1,1,363.89,1,0
2,0,0,4288,3263.0,1,1,738.89,0,1
0,1,0,4843,3806.0,1,1,419.44,1,0
1,1,0,3052,1030.0,1,1,277.78,0,1
2,1,0,11417,1126.0,1,1,625.0,0,1
2,1,0,3800,3600.0,0,0,600.0,0,1
3,0,0,2071,754.0,1,1,195.83,1,0
0,1,0,5316,0.0,1,1,377.78,0,1
1,1,0,14583,0.0,1,1,1027.78,0,0
0,1,0,3167,2283.0,1,1,427.78,1,0
0,1,0,5568,2142.0,1,0,486.11,0,0
0,1,0,10408,0.0,1,1,719.44,0,1
0,1,0,4166,0.0,1,1,122.22,1,0
0,1,0,2137,8980.0,0,1,380.56,1,0
2,1,0,2957,0.0,1,1,225.0,1,0
0,0,0,4300,2014.0,1,1,538.89,0,0
1,1,1,10513,3850.0,0,0,888.89,0,1
0,1,0,2014,1929.0,1,1,205.56,0,1
0,1,0,2718,0.0,1,1,194.44,1,0
0,1,1,3459,0.0,1,1,208.33,1,0
0,1,0,4895,0.0,1,1,283.33,1,0
3,1,0,4000,7750.0,1,0,805.56,1,0
0,1,0,4583,0.0,1,0,233.33,0,0
2,1,1,3316,3500.0,1,1,244.44,0,1
0,1,0,14999,0.0,0,0,672.22,1,0
2,0,0,4200,1430.0,1,0,358.33,0,0
2,1,0,5042,2083.0,1,0,513.89,0,0
0,1,0,5417,0.0,1,1,466.67,0,1
0,1,1,6950,0.0,1,1,972.22,1,0
0,1,0,2698,2034.0,1,1,338.89,1,0
2,1,0,11757,0.0,1,1,1038.89,0,1
0,1,0,2330,4486.0,1,1,277.78,1,0
2,1,0,14866,0.0,1,1,194.44,0,1
1,1,0,1538,1425.0,1,1,83.33,0,1
0,1,0,10000,1666.0,1,0,625.0,0,0
0,1,0,4860,830.0,1,1,347.22,1,0
0,1,0,6277,0.0,0,0,327.78,0,0
0,1,1,2577,3750.0,1,1,422.22,0,0
0,1,0,9166,0.0,1,0,677.78,0,1
2,0,0,2281,0.0,1,0,313.89,0,0
0,1,0,3254,0.0,1,1,138.89,0,1
3,1,0,39999,0.0,0,1,3333.33,1,0
1,1,0,9538,0.0,1,1,519.44,0,1
0,1,0,4583,5625.0,1,1,708.33,1,0
0,0,0,1863,1041.0,1,1,272.22,1,0
0,1,0,7933,0.0,1,0,763.89,0,1
1,1,0,3089,1280.0,0,0,336.11,1,0
2,1,0,4167,1447.0,1,1,438.89,0,0
0,1,0,9323,0.0,1,1,416.67,0,1
0,1,0,4583,0.0,1,0,311.11,0,0
0,1,0,2439,3333.0,1,1,358.33,0,0
0,1,0,2237,0.0,0,0,131.25,1,0
2,1,0,8000,0.0,1,1,555.56,1,0
3,0,0,3522,0.0,1,0,450.0,0,0
0,1,0,5708,5625.0,1,1,519.44,1,0
0,0,1,4344,736.0,1,0,241.67,1,0
0,1,0,3497,1964.0,1,1,322.22,0,0
2,1,0,2045,1619.0,1,1,280.56,0,0
3,1,0,5516,11300.0,0,0,1375.0,1,0
1,1,0,3750,0.0,1,1,322.22,1,0
0,0,0,2333,1451.0,0,0,212.5,0,1
1,1,0,6400,7250.0,0,0,500.0,0,1
0,1,0,4600,0.0,1,1,405.56,1,0
1,1,0,33846,0.0,1,0,722.22,1,0
0,1,0,3625,0.0,1,1,300.0,1,0
0,1,1,39147,4750.0,1,1,333.33,1,0
1,1,1,2178,0.0,0,0,220.0,0,0
0,1,0,9328,0.0,1,1,1044.44,0,0
0,0,0,4885,0.0,1,1,133.33,0,0
0,1,0,12000,0.0,1,0,455.56,1,0
0,0,0,6033,0.0,1,0,444.44,0,1
0,1,0,3858,0.0,1,1,211.11,1,0
0,1,0,4191,0.0,1,1,333.33,0,0
1,1,0,3125,2583.0,1,0,472.22,1,0
0,1,0,8333,3750.0,1,1,519.44,0,0
0,1,1,11000,0.0,1,0,230.56,0,1
1,0,0,2600,2500.0,1,1,250.0,1,0
2,1,0,4923,0.0,0,1,461.11,1,0
1,0,0,3500,1083.0,1,1,375.0,0,1
2,0,0,3917,0.0,1,1,344.44,1,0
0,0,0,4408,0.0,1,1,333.33,1,0
0,1,0,3244,0.0,1,1,222.22,0,1
0,0,0,3975,2531.0,1,1,152.78,0,0
0,1,0,2479,0.0,1,1,163.89,0,1
0,1,0,3418,0.0,1,0,352.78,1,0
0,1,0,10000,0.0,1,0,594.44,1,0
3,1,0,3430,1250.0,0,0,355.56,1,0
1,1,1,7787,0.0,1,1,666.67,0,1
3,0,1,5703,0.0,1,1,361.11,0,0
0,1,0,3173,3021.0,1,1,380.56,0,1
3,0,0,3850,983.0,1,1,277.78,1,0
0,1,0,150,1800.0,1,0,375.0,0,0
0,1,0,3727,1775.0,1,1,363.89,1,0
0,1,0,2221,0.0,0,0,166.67,0,1
2,1,0,4009,1717.0,1,1,322.22,1,0
0,1,0,2971,2791.0,1,1,400.0,1,0
0,1,0,6250,0.0,1,1,355.56,1,0
0,1,0,3250,0.0,1,0,472.22,0,0
2,1,0,6250,1695.0,1,1,583.33,1,0
0,1,1,6400,0.0,1,1,555.56,0,0
1,1,0,2491,2054.0,1,1,288.89,1,0
0,1,0,8333,0.0,1,1,777.78,1,0
1,1,0,3155,1779.0,1,1,388.89,1,0
1,1,0,5500,1260.0,1,1,472.22,0,0
1,1,0,3812,0.0,1,1,311.11,0,0
1,1,0,3315,0.0,1,1,266.67,1,0
2,1,0,5819,5000.0,1,1,333.33,0,0
1,0,0,2510,1983.0,1,0,777.78,0,1
0,1,0,2965,5701.0,1,1,2583.33,0,1
2,1,1,6250,1300.0,1,1,300.0,0,0
0,0,0,3406,4417.0,1,1,341.67,1,0
0,1,1,6050,4333.0,1,0,666.67,0,1
2,1,0,9703,0.0,1,1,311.11,0,1
1,0,0,6608,0.0,1,1,761.11,0,1
1,1,0,2882,1843.0,1,1,256.25,1,0
0,1,0,1809,1868.0,1,1,250.0,0,1
0,0,0,1668,3890.0,0,0,558.33,1,0
2,1,0,3427,0.0,1,0,383.33,0,1
0,0,1,2583,2167.0,1,1,288.89,0,0
1,0,0,2661,7101.0,1,1,1550.0,1,0
0,1,1,16250,0.0,0,0,533.33,0,1
3,1,0,3083,0.0,1,1,708.33,0,0
0,0,0,6045,0.0,0,0,319.44,0,0
3,1,0,5250,0.0,1,0,261.11,0,1
0,1,0,14683,2100.0,1,0,844.44,0,0
0,1,0,2060,2209.0,1,1,372.22,1,0
1,1,0,3481,0.0,1,0,4305.56,1,0
0,1,0,7200,0.0,1,1,333.33,0,0
0,1,1,5166,0.0,1,1,355.56,1,0
0,1,0,4095,3447.0,1,1,419.44,0,0
2,1,0,4708,1387.0,1,1,416.67,1,0
3,1,0,4333,1811.0,0,1,444.44,0,1
1,1,0,2876,1560.0,1,1,250.0,0,1
0,1,0,3237,0.0,1,1,83.33,0,1
0,1,0,11146,0.0,1,1,377.78,0,1
0,1,0,2833,1857.0,1,1,350.0,0,0
0,1,0,2620,2223.0,1,1,416.67,1,0
2,1,0,3900,0.0,1,1,250.0,1,0
1,1,0,2750,1842.0,1,1,319.44,1,0
0,1,0,3993,3274.0,1,1,575.0,1,0
0,1,0,3103,1300.0,1,1,222.22,0,1
0,1,0,14583,0.0,1,1,1211.11,1,0
1,0,1,4053,2426.0,0,0,438.89,0,1
0,1,0,3927,800.0,1,1,311.11,1,0
2,1,0,2301,985.7999878,1,1,433.33,0,1
0,1,0,1811,1666.0,1,1,150.0,0,1
0,1,0,3158,3053.0,1,1,247.22,0,0
0,1,1,2600,1717.0,1,0,330.0,1,0
0,1,0,3704,2000.0,1,1,333.33,0,0
0,1,0,4124,0.0,1,1,319.44,1,0
0,1,0,9508,0.0,1,1,519.44,0,0
0,1,0,3075,2416.0,1,1,386.11,0,0
2,1,0,4400,0.0,0,0,352.78,1,0
2,1,0,3153,1560.0,1,1,372.22,0,1
0,1,0,2383,3334.0,1,1,477.78,1,0
1,1,0,6875,0.0,1,1,555.56,1,0
1,1,0,4666,0.0,1,1,375.0,0,1
0,1,0,5000,2541.0,1,0,314.58,0,0
1,1,0,2014,2925.0,1,0,313.89,0,1
0,0,0,1800,2934.0,0,0,258.33,0,1
0,1,0,5000,0.0,1,1,366.67,0,0
1,1,0,1625,1803.0,1,1,266.67,0,1
0,1,0,4000,2500.0,1,1,388.89,0,0
0,1,0,3762,1666.0,1,1,375.0,0,0
0,1,0,2400,1863.0,0,0,288.89,0,1
0,1,0,20233,0.0,1,0,1333.33,0,0
0,1,0,2917,0.0,1,1,233.33,1,0
0,0,0,2927,2405.0,1,1,308.33,1,0
0,1,0,2507,0.0,1,1,155.56,0,0
1,0,0,3399,1640.0,1,1,616.67,0,1
2,1,0,3717,0.0,1,1,333.33,1,0
1,1,1,10000,0.0,1,0,430.56,0,0
0,1,0,2400,2167.0,1,1,319.44,1,0
3,1,0,4342,189.0,1,1,344.44,1,0
3,1,0,15000,0.0,1,1,833.33,0,0
1,1,1,8666,4983.0,0,0,1044.44,0,0
0,1,0,4917,0.0,0,1,361.11,0,0
0,1,1,5818,2160.0,1,1,511.11,1,0
0,1,0,4333,2451.0,1,0,305.56,0,1
0,1,0,2500,0.0,1,1,186.11,0,1
1,1,0,4384,1793.0,1,1,325.0,0,1
0,1,0,2935,0.0,1,1,272.22,1,0
2,1,1,2500,4600.0,1,1,488.89,0,0
0,1,0,4160,0.0,1,1,197.22,1,0
3,0,0,2647,1587.0,1,0,480.56,0,0
0,1,0,2378,0.0,1,0,127.78,0,0
1,0,0,4554,1229.0,1,1,438.89,0,1
3,0,0,3173,0.0,1,1,205.56,1,0
0,1,0,2499,2458.0,1,1,444.44,1,0
2,0,0,3083,2168.0,1,1,350.0,0,1
0,1,0,2625,6250.0,1,1,519.44,0,0
0,1,0,9083,0.0,1,1,633.33,1,0
0,1,0,8750,4167.0,1,0,855.56,0,0
3,1,0,2666,2083.0,1,1,263.89,0,0
0,1,1,5500,0.0,0,0,291.67,0,0
0,1,0,2423,505.0,1,1,361.11,1,0
2,1,0,8333,3167.0,1,1,458.33,0,0
1,1,0,3875,0.0,1,0,186.11,0,1
0,0,0,3000,1666.0,0,0,208.33,0,1
3,1,0,5167,3167.0,1,1,555.56,1,0
1,1,0,4723,0.0,1,0,225.0,1,0
2,1,0,5000,3667.0,1,1,655.56,1,0
0,1,0,4750,2333.0,1,1,361.11,0,1
0,1,1,6822,0.0,1,1,391.67,0,0
0,0,0,6216,0.0,1,0,369.44,0,0
0,1,0,2500,0.0,1,0,200.0,1,0
1,1,0,6325,0.0,1,1,486.11,1,0
0,1,0,19730,5266.0,1,0,1583.33,0,0
0,1,1,15759,0.0,1,1,152.78,1,0
2,1,0,5185,0.0,1,1,430.56,1,0
2,1,1,9323,7873.0,1,1,1266.67,0,0
1,1,0,3062,1987.0,0,0,616.67,0,1
0,1,0,4817,923.0,1,1,666.67,0,1
3,1,0,8750,4996.0,1,1,361.11,0,0
0,1,0,3069,0.0,1,0,147.92,0,1
2,1,0,5391,0.0,1,1,361.11,0,1
0,1,0,5941,4232.0,1,1,822.22,1,0
0,1,0,6000,0.0,1,1,433.33,0,1
0,1,1,7167,0.0,1,1,355.56,0,1
2,1,0,4566,0.0,1,0,277.78,0,1
0,0,0,2346,1600.0,1,1,366.67,1,0
0,1,0,2333,2417.0,1,1,377.78,0,1
0,1,0,5488,0.0,1,1,347.22,0,0
3,1,0,9167,0.0,1,1,513.89,0,0
3,1,0,9504,0.0,1,1,763.89,0,0
2,0,0,1993,1625.0,1,1,627.78,1,0
2,1,0,3100,1400.0,1,1,313.89,0,1
0,1,0,3180,0.0,0,0,197.22,0,1
0,1,0,3033,1459.0,1,1,263.89,0,1
0,0,0,3902,1666.0,1,1,302.78,0,0
0,1,0,1500,1800.0,0,0,286.11,1,0
2,0,0,2889,0.0,0,0,250.0,0,1
0,0,0,2755,0.0,1,0,216.67,0,0
0,1,0,2500,20000.0,1,1,286.11,1,0
0,0,0,1963,0.0,1,1,147.22,1,0
0,1,1,7441,0.0,1,0,538.89,0,0
0,1,0,4547,0.0,1,1,319.44,1,0
0,0,0,2167,2400.0,1,1,319.44,0,1
0,0,0,2213,0.0,1,1,183.33,0,0
1,1,0,8300,0.0,0,0,506.67,1,0
3,1,0,81000,0.0,0,0,1000.0,0,0
1,0,1,3867,0.0,1,0,172.22,1,0
0,0,0,6096,0.0,0,0,605.56,0,0
0,0,0,2253,2033.0,1,1,305.56,0,0
0,0,0,2149,3237.0,0,0,494.44,1,0
0,1,0,2995,0.0,1,1,166.67,0,1
1,1,0,2600,0.0,1,0,444.44,0,1
2,1,1,1600,20000.0,1,0,663.89,0,1
0,1,0,1025,2773.0,1,1,311.11,0,0
0,1,0,3246,1417.0,1,1,383.33,1,0
0,1,0,5829,0.0,1,1,383.33,0,0
0,1,0,1820,1719.0,1,1,277.78,0,1
0,1,0,14880,0.0,1,1,266.67,1,0
0,1,0,2666,4300.0,1,1,336.11,0,0
1,0,0,4606,0.0,1,0,225.0,0,0
2,1,0,5935,0.0,1,1,369.44,1,0
0,1,0,2920,16.12000084,1,1,241.67,0,0
0,0,0,2717,0.0,1,1,333.33,0,1
1,1,1,8624,0.0,1,1,416.67,1,0
0,1,0,6500,0.0,0,0,291.67,0,0
0,1,0,2425,2340.0,1,1,397.22,1,0
0,1,0,3750,0.0,1,1,277.78,0,1
0,1,0,1926,1851.0,1,1,138.89,1,0
0,1,1,10416,0.0,0,0,519.44,0,1
0,0,1,7142,0.0,1,1,383.33,0,0
0,1,0,3660,5064.0,1,1,519.44,1,0
0,1,0,7901,1833.0,1,1,500.0,0,0
3,0,0,4707,1993.0,1,1,411.11,1,0
1,1,0,37719,0.0,1,1,422.22,1,0
1,1,1,3466,1210.0,1,1,361.11,0,0
2,0,0,4652,0.0,1,1,305.56,0,0
2,1,0,3340,1710.0,0,0,416.67,0,0
2,0,0,2309,1255.0,0,0,347.22,0,0
0,1,0,3948,1733.0,0,0,413.89,0,0
0,1,0,2483,2466.0,0,1,500.0,0,0
0,1,1,7085,0.0,1,1,233.33,1,0
2,1,0,3859,0.0,1,1,266.67,1,0
0,1,0,4301,0.0,1,1,327.78,0,1
0,1,0,3708,2569.0,1,0,480.56,0,1
2,1,0,4354,0.0,1,1,377.78,0,0
0,1,0,8334,0.0,1,0,444.44,1,0
3,1,0,7740,0.0,1,1,711.11,0,1
0,1,0,3015,2188.0,1,1,425.0,0,0
0,1,0,4166,0.0,0,0,272.22,1,0
0,1,0,6000,0.0,1,1,388.89,0,0
3,0,0,2947,1664.0,0,0,388.89,0,1
0,1,0,4333,2451.0,1,0,305.56,0,1
1,1,1,3450,2079.0,1,1,450.0,1,0
1,0,0,2653,1500.0,0,0,627.78,0,0
3,1,0,4691,0.0,1,1,277.78,1,0
2,1,0,5532,4648.0,1,1,450.0,0,0
2,1,1,16525,1014.0,1,1,416.67,0,0
2,1,0,6700,1750.0,1,1,766.67,1,0
1,1,1,16667,2250.0,1,1,238.89,1,0
0,0,0,4350,0.0,1,1,427.78,0,0
3,0,0,3095,0.0,1,1,313.89,0,0
0,1,0,2083,3150.0,1,1,355.56,1,0
0,1,0,10833,0.0,1,1,650.0,1,0
2,1,0,8333,0.0,1,1,683.33,1,0
1,0,0,1958,2436.0,1,1,363.89,0,0
2,1,0,3547,0.0,0,0,222.22,0,0
1,1,0,18333,0.0,1,0,1388.89,0,1
2,1,1,4583,2083.0,1,1,444.44,1,0
0,1,0,2435,0.0,1,0,208.33,0,1
0,0,0,3691,0.0,1,1,305.56,0,0
0,0,1,17263,0.0,1,1,625.0,1,0
0,1,0,3597,2157.0,0,0,330.56,0,0
1,1,0,3326,913.0,1,1,1250.0,1,0
0,0,0,2600,1700.0,1,1,297.22,0,0
1,1,1,2895,0.0,1,1,263.89,1,0
0,1,0,6283,4416.0,0,0,580.56,0,0
0,1,0,645,3683.0,1,1,235.42,0,0
0,1,0,3159,0.0,1,1,277.78,1,0
2,1,0,4865,5624.0,1,1,577.78,1,0
0,0,0,3814,1483.0,1,1,413.33,1,0
2,1,0,3510,4416.0,1,1,675.0,0,0
0,1,1,2479,3013.0,1,1,522.22,0,1
1,1,0,13262,0.0,1,1,111.11,0,1
0,0,0,3598,1287.0,1,0,277.78,0,0
1,1,0,6065,2004.0,1,1,694.44,1,0
2,1,0,3283,2035.0,1,1,411.11,0,1
0,1,0,2130,6666.0,1,0,388.89,1,0
0,1,0,5815,3666.0,1,0,863.89,0,0
3,1,0,3466,3428.0,1,1,416.67,0,0
2,1,0,2031,1632.0,1,1,235.42,1,0
0,1,0,4683,1915.0,1,0,513.89,1,0
0,0,0,3400,0.0,1,0,263.89,0,0
2,0,0,2192,1742.0,1,1,125.0,1,0
0,1,0,2500,0.0,1,1,152.78,1,0
3,1,1,5677,1424.0,1,1,277.78,0,0
2,1,1,7948,7166.0,1,1,1333.33,0,0
2,1,1,17500,0.0,1,1,1111.11,0,0
0,1,0,3775,0.0,1,1,305.56,1,0
1,0,0,5285,1430.0,0,1,447.22,1,0
1,0,0,2679,1302.0,1,1,261.11,1,0
0,0,0,6783,0.0,1,1,361.11,1,0
3,1,0,4281,0.0,1,1,277.78,0,1
2,1,0,3588,0.0,0,0,305.56,0,0
0,0,1,18165,0.0,1,1,347.22,0,1
0,1,0,6133,3906.0,1,1,900.0,0,1
2,1,0,3617,0.0,1,1,297.22,1,0
0,0,0,2917,536.0,1,0,183.33,0,0
3,1,0,6417,0.0,1,1,872.22,0,0
1,1,0,4608,2845.0,1,1,777.78,1,0
0,1,0,2138,0.0,0,0,275.0,1,0
1,0,0,2239,2524.0,1,1,355.56,0,1
0,1,0,2768,1950.0,1,1,430.56,0,0
0,0,0,3358,0.0,1,0,2222.22,1,0
0,1,0,2526,1783.0,1,1,402.78,0,0
0,1,0,5000,0.0,0,0,286.11,1,0
0,1,0,2785,2016.0,1,1,305.56,0,0
1,1,0,3333,3250.0,1,1,438.89,0,1
0,0,0,2454,2333.0,0,0,502.78,0,1
0,1,0,3593,4266.0,0,0,733.33,0,0
1,1,0,5468,1032.0,1,1,72.22,1,0
3,1,1,10139,0.0,1,1,722.22,1,0
0,1,0,3887,2669.0,1,1,450.0,1,0
0,1,0,4180,2306.0,1,1,505.56,1,0
2,0,0,3675,242.0,1,1,300.0,1,0
1,1,1,19484,0.0,1,1,1666.67,1,0
0,1,0,5923,2054.0,1,1,586.11,0,0
0,0,1,5800,0.0,1,1,366.67,1,0
2,1,0,8799,0.0,0,0,716.67,0,1
0,1,0,3333,0.0,1,1,194.44,0,1
3,1,0,3400,2500.0,0,0,341.67,0,0
0,1,0,2378,0.0,1,0,25.0,0,1
0,1,0,3166,2064.0,0,0,288.89,0,1
1,1,0,3417,1750.0,1,1,516.67,0,1
2,1,0,16666,0.0,1,1,763.89,0,1
2,0,0,6125,1625.0,1,0,389.58,1,0
3,1,0,6406,0.0,1,0,416.67,1,0
2,1,0,3159,461.0,1,1,1285.71,0,1
0,1,0,3229,2739.0,1,1,305.56,0,1
1,1,0,1782,2232.0,1,1,297.22,0,0
2,1,0,6540,0.0,1,1,569.44,1,0
0,1,0,1836,33837.0,1,0,250.0,0,1
0,1,0,3166,0.0,1,1,100.0,1,0
1,1,0,2787,1917.0,0,0,405.56,0,0
1,1,0,4283,3000.0,1,0,2047.62,0,0
0,1,0,2297,1522.0,1,1,288.89,0,1
0,0,0,2165,0.0,1,1,194.44,1,0
2,1,1,2726,0.0,0,0,294.44,1,0
0,1,0,3000,3416.0,1,1,311.11,1,0
2,1,1,6000,0.0,1,0,854.17,1,0
0,1,0,3859,3300.0,1,1,788.89,0,0
0,1,1,16120,0.0,1,1,722.22,0,1
0,0,0,3833,0.0,1,1,305.56,0,0
2,0,1,6383,1000.0,1,0,519.44,0,0
0,1,1,9963,0.0,1,1,500.0,0,0
2,1,0,5780,0.0,1,1,533.33,0,1
3,1,0,5703,0.0,1,1,355.56,0,1
0,1,0,3676,4301.0,1,1,477.78,0,0
1,1,0,12000,0.0,1,1,1377.78,1,0
1,1,0,3400,2500.0,1,1,480.56,1,0
2,0,0,3987,1411.0,1,1,436.11,0,0
0,1,0,3232,1950.0,1,1,300.0,0,0
0,1,0,2900,0.0,1,1,197.22,0,0
3,1,0,4106,0.0,1,1,222.22,0,0
1,1,0,8072,240.0,1,1,702.78,0,1
2,1,0,7583,0.0,1,1,519.44,0,1
0,1,1,4583,0.0,0,0,369.44,1,0
